duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
7.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.73,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.73,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.77,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.85,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.87,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.9,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.9,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.92,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.92,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
7.92,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
7.98,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.03,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.08,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
8.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
8.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
8.2,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.28,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
8.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.42,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.47,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.47,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.53,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.58,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
8.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.67,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.72,2013-08-29,2013,08,29,3,San Jose,San Jose,Customer
8.78,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
8.83,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.85,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.9,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.92,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.95,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
8.95,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
8.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.0,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.0,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.08,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.22,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.25,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.27,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
9.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.35,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.38,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
9.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.43,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.45,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.5,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.52,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.53,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.53,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.53,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.55,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
9.57,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
